AQW00061705        3614C
USC00116579        1024S
USC00116610         940S
USC00116616         782S
USC00116661         639S
USC00116663         848R
USC00116738        1076R
USC00116753         887S
USC00116819         978S
USC00116837        1022R
USC00116897         928R
USC00116910         846S
USC00116970         988Q
USC00116998         858R
USC00117004         949S
USC00117077        1002R
USC00117126        1027R
USC00117187        1174Q
USC00117345        1039Q
USC00117354         706S
USC00117391         870R
USC00117457         801R
USC00117487        1199S
USC00117551         947S
USC00117590         872Q
USC00117636        1120C
USC00117876        1052R
USC00117952         993Q
USC00118020        1170S
USC00118147        1145S
USC00118186         977Q
USC00118293         696S
USC00118324         959R
USC00118389         956R
USC00118684         962S
USC00118740         952S
USC00118781        1062S
USC00118860        1087S
USC00118916         786S
USC00119002        1118R
USC00119021         885S
USC00119029         581R
USC00119221         736S
USC00119241         989S
USC00119331        1068R
USC00119354        1005S
USC00120177         847S
USC00120200         612S
USC00120331         861R
USC00120676         833S
USC00120784         979S
USC00120830         794S
USC00120852        1239R
USC00120858         821R
USC00121030        1107S
USC00121229         715R
USC00121303         884R
USC00121417         817Q
USC00121425        1205R
USC00121739         715S
USC00121747         999S
USC00121869        1167R
USC00121873         778R
USC00122096         820Q
USC00122149         918S
USC00122309        1111S
USC00122638         886S
USC00122660        1188R
USC00122731        1487R
USC00122825         848C
USC00123078         810Q
USC00123082         822S
USC00123091         946Q
USC00123104        1008S
USC00123206         723Q
USC00123207         705R
USC00123418         717S
USC00123513         868S
USC00123527         864S
USC00123547         976C
USC00123777         755R
USC00124008         751R
USC00124181         908S
USC00124244         628R
USC00124272         816S
USC00124356         868R
USC00124527         977R
USC00124550         880R
USC00124657         738Q
USC00124662         869S
USC00124711        1231Q
USC00124715         854S
USC00124730         697R
USC00124782         736R
USC00124837         676S
USC00124977         861Q
USC00125117         830R
USC00125174         813C
USC00125237        1191S
USC00125337         835S
USC00125407         887S
USC00125658         768R
USC00126001        1174S
USC00126164         767S
USC00126304         904R
USC00126400         700Q
USC00126420         788Q
USC00126435        1067R
USC00126506         813R
USC00126580         987S
USC00126705        1099S
USC00126830        1042R
USC00126872        1044R
USC00126989         758R
USC00127069         809R
USC00127102         727R
USC00127125        1177S
USC00127298         852S
USC00127370         897S
USC00127482         755S
USC00127522        1084S
USC00127646         888C
USC00127724        1206S
USC00127755        1102S
USC00127875        1110S
USC00127935         971S
USC00127959         956R
USC00127999         975R
USC00128036        1084S
USC00128290         933S
USC00128442        1157Q
USC00128698        1227S
USC00128723        1155R
USC00128784         846R
USC00128967        1213Q
USC00128992         604Q
USC00128999         739R
USC00129080        1179R
USC00129112        1180Q
USC00129113        1148S
USC00129138         839R
USC00129222         803S
USC00129240         678S
USC00129253        1175R
USC00129430         883C
USC00129511         835R
USC00129557         910S
USC00129670         767S
USC00129678         742S
USC00129724         700Q
USC00129905         807R
USC00130112         782S
USC00130133         656S
USC00130149         825R
USC00130157         701S
USC00130200         877S
USC00130203         820R
USC00130213         748S
USC00130241         953S
USC00130364         940S
USC00130385         773S
USC00130536         779S
USC00130576         933S
USC00130600         782S
USC00130608         819S
USC00130753         849S
USC00130807         777S
USC00130923         606S
USC00131060         844S
USC00131233         835C
USC00131257         728S
USC00131277         759S
USC00131319         905C
USC00131354         824R
USC00131394         839S
USC00131402         654C
USC00131442         848S
USC00131533         891R
USC00131541         822R
USC00131635         893C
USC00131705         738Q
USC00131710         733S
USC00131731         797S
USC00131833         845S
USC00131954         597C
USC00131962         799S
USC00132110         807S
USC00132171         881S
USC00132209         846R
USC00132299         957Q
USC00132364         793S
USC00132573         703S
USC00132603         777S
USC00132689         647S
USC00132724         686S
USC00132789        1006C
USC00132864         627S
USC00132977         638S
USC00132999         778S
USC00133007         898C
USC00133288         962Q
USC00133290        1040S
USC00133438         967S
USC00133473         745C
USC00133487         726C
USC00133509         876S
USC00133517         747S
USC00133584         736S
USC00133632         813R
USC00133718         808S
USC00133909         751Q
USC00133980         585R
USC00133985         767R
USC00134038         802R
USC00134049         706S
USC00134063         827S
USC00134101        1032S
USC00134142         753S
USC00134228         867S
USC00134381         957S
USC00134389        1104S
USC00134502         861S
USC00134561         855C
USC00134585         892S
USC00134705         847S
USC00134735         850S
USC00134758         876S
USC00134874         933Q
USC00134894         952S
USC00134963         875Q
USC00135086         663S
USC00135123         896S
USC00135131         688S
USC00135198         780S
USC00135230         616S
USC00135493         726S
USC00135769         816S
USC00135796         939S
USC00135837         972S
USC00135844         845R
USC00135952         581S
USC00135992         816S
USC00136103         537S
USC00136151         881R
USC00136199         696Q
USC00136200         615R
USC00136243         977S
USC00136305         608S
USC00136316         934R
USC00136327         831S
USC00136566         849C
USC00136719         840S
USC00136766         684R
USC00136800         831S
USC00136910         839R
USC00136940        1002S
USC00137147         817S
USC00137161         751S
USC00137312         782S
USC00137386         679S
USC00137594         694S
USC00137613        1036S
USC00137664         709S
USC00137669         956S
USC00137678         811S
USC00137700         968C
USC00137726         726S
USC00137844         739S
USC00137859         684R
USC00137892         713Q
USC00137979         727S
USC00138026         695R
USC00138266         821S
USC00138296         725S
USC00138339         683R
USC00138568         797S
USC00138688         906S
USC00138755         563R
USC00138806         776S
USC00139067         783S
USC00139132         788R
USC00140010        1265S
USC00140200        1189Q
USC00140201        1225R
USC00140365        1416S
USC00140405         977S
USC00140439        1223S
USC00140682        1068S
USC00140693        1179R
USC00140800        1457R
USC00140810        1209Q
USC00140865        1215S
USC00140957        1072Q
USC00141029        1153R
USC00141068        1199R
USC00141179        1004Q
USC00141351        1075S
USC00141383        1190S
USC00141408         996R
USC00141428        1199R
USC00141522        1263S
USC00141559        1181S
USC00141612        1054S
USC00141673        1224Q
USC00141699        1149S
USC00141704        1401S
USC00141740        1204S
USC00141761        1048Q
USC00141858        1124S
USC00141867        1121S
USC00141874        1111Q
USC00142401        1161S
USC00142430        1162R
USC00142432        1325S
USC00142459        1148R
USC00142548        1124S
USC00142602        1015R
USC00142622        1203S
USC00142686        1200R
USC00142773        1221S
USC00142835        1227S
USC00142894        1220R
USC00142980        1257S
USC00143008        1144S
USC00143074        1213S
USC00143100        1182R
USC00143156        1045Q
USC00143218        1368S
USC00143223        1207Q
USC00143239        1208R
USC00143527        1211S
USC00143545        1227R
USC00143554        1240S
USC00143594        1139S
USC00143634        1066Q
USC00143665        1224R
USC00143686        1071R
USC00143759        1029S
USC00143810        1060R
USC00143822        1244S
USC00143837        1037S
USC00143847        1364S
USC00143855        1317R
USC00143867        1139R
USC00143929        1153R
USC00143930        1210S
USC00143954        1282S
USC00143984        1114S
USC00144087        1234R
USC00144104        1079R
USC00144114        1343R
USC00144178        1164S
USC00144313        1260R
USC00144333        1359R
USC00144357        1203R
USC00144464        1314C
USC00144530        1194R
USC00144559        1063R
USC00144588        1153R
USC00144665        1200R
USC00144695        1394S
USC00144712        1161R
USC00144857        1052S
USC00144972        1226S
USC00144982        1042R
USC00145039        1170S
USC00145063        1100S
USC00145127        1110R
USC00145152        1210S
USC00145171        1348R
USC00145173        1386R
USC00145210        1124R
USC00145306        1129S
USC00145363        1223R
USC00145421        1195R
USC00145528        1056S
USC00145536        1203S
USC00145692        1302R
